"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.07.31 11:15 PM GMT","New Hampshire Motor Speedway - Road Course with South Oval","Skip Barber Race Series","2019","3","N/A","8","2345",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","348536","348536","Greg W Seitz","1","1","0","Running","-00.000","20","","1:09.158","1:08.340","14","21","4","141","16","1","33","Northwest","6571","6591","16","458","16","459","Skip Barber Race Series","100","0","141"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","17300","17300","Francois Boulianne","3","2","0","Running","-00.283","1","","1:09.172","1:08.386","16","21","4","132","14","1","15","Canada","4555","4590","19","351","19","350","Skip Barber Race Series","100","0","132"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","156050","156050","Joshua Jablonski","5","3","0","Running","-09.466","0","","1:09.609","1:08.590","20","21","4","123","12","1","29","Midwest","4237","4265","14","297","15","353","Skip Barber Race Series","100","0","123"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","51197","51197","Bobby Rafferty","4","10","0","Running","-10.406","0","","1:09.654","1:08.552","20","21","0","114","10","3","14","New York","1943","2017","19","327","19","350","Skip Barber Race Series","100","0","114"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","357506","357506","Ricardo Cangas","7","6","0","Running","-19.341","0","","1:10.079","1:09.085","9","21","5","105","8","4","38","Iberia","2749","2787","20","485","20","471","Skip Barber Race Series","100","0","105"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","267878","267878","Ari Cejas","8","7","0","Running","-19.686","0","","1:10.096","1:09.148","21","21","1","96","6","2","24","Hispanoamérica","2749","2776","19","358","19","375","Skip Barber Race Series","100","0","96"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","228256","228256","Nicholas Vaughan-Roberts","9","9","0","Running","-30.054","0","","1:10.589","1:08.931","13","21","12","88","4","3","36","UK and I","2114","2147","10","225","10","228","Skip Barber Race Series","100","0","88"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","375756","375756","Christopher Damkoehler","11","16","0","Running","-30.714","0","","1:10.621","1:09.233","20","21","6","79","2","R","6","California Club","1508","1550","11","346","11","355","Skip Barber Race Series","100","0","79"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","349315","349315","Karlos GonzÃ¡lez","12","11","0","Running","-38.536","0","","1:10.993","1:09.503","6","21","1","70","0","3","38","Iberia","1803","1823","14","248","14","277","Skip Barber Race Series","100","0","70"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","247288","247288","Iban Etxeberria","2","5","0","Running","-51.642","0","","1:10.783","1:08.814","21","21","7","61","0","1","38","Iberia","3458","3421","19","341","19","330","Skip Barber Race Series","100","0","61"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","347539","347539","Daniel Bonawitz","14","14","0","Running","-55.137","0","","1:11.783","1:10.130","15","21","9","52","0","4","16","Pennsylvania","1526","1532","18","255","18","243","Skip Barber Race Series","100","0","52"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","323249","323249","Quim Tella","13","17","0","Running","-1 L","0","","1:12.732","1:10.821","16","20","2","44","0","6","38","Iberia","1407","1406","11","394","12","453","Skip Barber Race Series","100","0","44"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","353123","353123","Dennis Hand","16","13","0","Running","-1 L","0","","1:13.501","1:09.937","13","20","2","35","0","5","19","New Jersey","1594","1576","15","372","15","383","Skip Barber Race Series","100","0","35"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","206971","206971","Karl Dronke","6","4","0","Running","-1 L","0","","1:09.464","1:08.809","20","20","9","26","0","1","19","New Jersey","3492","3408","14","253","14","252","Skip Barber Race Series","100","0","26"
"15","1","Skip Barber Formula 2000","1","Skip Barber Race Series","161904","161904","Evan Black","15","12","32","Disconnected","-13 L","0","","1:12.023","1:09.677","6","8","6","17","0","3","31","Great Plains","1658","1614","15","335","15","326","Skip Barber Race Series","100","0","17"
"16","1","Skip Barber Formula 2000","1","Skip Barber Race Series","331646","331646","Joaquin Moreno","10","8","32","Disconnected","-19 L","0","","00.000","","","2","10","8","0","4","42","DE-AT-CH","2316","2239","11","376","11","353","Skip Barber Race Series","100","0","8"
"17","1","Skip Barber Formula 2000","1","Skip Barber Race Series","355056","355056","Owen Pankewitz","17","15","32","Disconnected","-21 L","0","","00.000","","","0","0","0","0","6","15","Canada","1517","1455","11","364","11","364","Skip Barber Race Series","100","0","0"
