"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.08.07 6:15 PM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Skip Barber Race Series","2019","3","N/A","9","2655",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","34512","34512","Dennis Johansen","15","2","0","Running","-00.000","1","","2:04.172","2:02.757","7","12","4","158","16","1","43","Scandinavia","4335","4388","10","215","10","229","Skip Barber Race Series","100","0","158"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","197115","197115","Lee Anderson4","1","1","0","Running","-00.408","11","","2:04.208","2:03.014","11","12","5","148","14","1","36","UK and I","5043","5072","20","465","20","450","Skip Barber Race Series","100","0","148"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","303068","303068","Fran Novo Aneas","3","3","0","Running","-04.365","0","","2:04.537","2:02.807","10","12","4","138","12","2","38","Iberia","4081","4116","16","484","16","477","Skip Barber Race Series","100","0","138"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","355267","355267","Samuel Scheidegger","4","4","0","Running","-04.400","0","","2:04.540","2:02.880","7","12","6","128","10","2","43","Scandinavia","3005","3055","11","332","11","330","Skip Barber Race Series","100","0","128"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","382643","382643","Teemu Vaskilampi2","16","7","0","Running","-09.495","0","","2:04.964","2:03.396","12","12","8","118","8","4","44","Finland","2621","2670","10","256","10","258","Skip Barber Race Series","100","0","118"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","243414","243414","Alejandro Mayorga","5","10","0","Running","-14.585","0","","2:05.389","2:03.956","2","12","5","108","6","2","38","Iberia","2446","2489","14","229","14","237","Skip Barber Race Series","100","0","108"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","339117","339117","Juan Ramón Bello García","9","15","0","Running","-17.932","0","","2:05.667","2:04.325","7","12","0","98","4","4","38","Iberia","2134","2175","18","251","18","272","Skip Barber Race Series","100","0","98"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","351097","351097","Andy Whit","7","11","0","Running","-19.183","0","","2:05.772","2:04.029","8","12","2","88","2","2","36","UK and I","2433","2453","12","437","12","443","Skip Barber Race Series","100","0","88"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","375207","375207","Leandro Euler","8","17","0","Running","-22.094","0","","2:06.014","2:04.404","11","12","2","79","0","4","24","Hispanoamérica","2037","2058","11","377","11","384","Skip Barber Race Series","100","0","79"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","314703","314703","Iain McFadzen","10","6","0","Running","-25.015","0","","2:06.257","2:04.981","9","12","4","69","0","2","36","UK and I","2664","2654","19","300","19","300","Skip Barber Race Series","100","0","69"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","254635","254635","Christian Hengst","2","5","0","Running","-33.917","0","","2:07.000","2:03.754","12","12","6","59","0","2","42","DE-AT-CH","2971","2941","16","451","16","442","Skip Barber Race Series","100","0","59"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","126311","126311","Theo Michielse","12","8","0","Running","-36.077","0","","2:07.179","2:05.561","12","12","1","49","0","2","40","Benelux","2506","2478","19","305","19","313","Skip Barber Race Series","100","0","49"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","36204","36204","Pierre Bourdon","17","13","0","Running","-45.270","0","","2:07.945","2:05.387","6","12","5","39","0","3","15","Canada","2172","2142","15","328","15","327","Skip Barber Race Series","100","0","39"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","294315","294315","Federico Sanfrutos","14","12","0","Running","-1:41.708","0","","2:12.648","2:05.463","11","12","7","29","0","4","38","Iberia","2179","2137","14","259","14","255","Skip Barber Race Series","100","0","29"
"15","1","Skip Barber Formula 2000","1","Skip Barber Race Series","324010","324010","Dylan Friedrich","13","16","29","Disqualified","-2 L","0","","2:10.366","2:06.428","9","10","17","19","0","3","39","France","2128","2076","12","448","12","417","Skip Barber Race Series","100","0","19"
"16","1","Skip Barber Formula 2000","1","Skip Barber Race Series","225512","225512","Bill Groombridge","6","9","32","Disconnected","-4 L","0","","2:09.279","2:04.854","6","8","4","9","0","2","33","Northwest","2481","2407","20","447","20","436","Skip Barber Race Series","100","0","9"
"17","1","Skip Barber Formula 2000","1","Skip Barber Race Series","365836","365836","Waldo Antonio Roca Martin","11","14","32","Disconnected","-11 L","0","","4:03.394","","","1","6","4","0","3","38","Iberia","2141","2066","11","321","11","308","Skip Barber Race Series","100","0","4"
