"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.08.08 2:15 AM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Skip Barber Race Series","2019","3","N/A","9","1071",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","339822","339822","Tiago Godoy","1","1","0","Running","-00.000","12","","2:06.338","2:04.642","12","12","0","65","14","4","45","Brazil","1413","1487","14","229","14","252","Skip Barber Race Series","100","0","65"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","389360","389360","Josh Clogg","11","9","0","Running","-44.346","0","","2:10.033","2:06.875","9","12","10","60","12","6","18","Atlantic","1113","1190","11","326","11","321","Skip Barber Race Series","100","0","60"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","313528","313528","Michael Bond","8","3","0","Running","-48.105","0","","2:10.346","2:06.710","10","12","3","55","10","7","30","Texas","1288","1342","7","318","7","331","Skip Barber Race Series","100","0","55"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","197522","197522","John Payson","5","13","0","Running","-52.789","0","","2:10.737","2:08.207","11","12","7","51","8","9","30","Texas","806","875","7","335","7","342","Skip Barber Race Series","100","0","51"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","376770","376770","Michael Auer","13","12","0","Running","-56.653","0","","2:11.058","2:08.548","7","12","3","46","6","8","23","Mid-South","916","965","19","336","19","337","Skip Barber Race Series","100","0","46"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","389489","389489","Eddie Rose","9","4","0","Running","-57.008","0","","2:11.088","2:07.493","4","12","2","41","4","4","31","Great Plains","1236","1253","7","385","7","393","Skip Barber Race Series","100","0","41"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","369909","369909","Sebastian Z","3","2","0","Running","-1:08.411","0","","2:16.009","2:06.755","12","12","7","37","2","3","34","Australia/NZ","1300","1301","10","218","10","225","Skip Barber Race Series","100","0","37"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","297198","297198","Scott Schnabel","6","7","0","Running","-1:08.467","0","","2:12.043","2:09.161","5","12","5","32","0","7","20","Ohio","1162","1157","14","229","14","237","Skip Barber Race Series","100","0","32"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","330839","330839","Logan Senhauser","4","11","0","Running","-1:10.634","0","","2:12.224","2:08.572","10","12","8","27","0","9","20","Ohio","929","925","7","330","7","335","Skip Barber Race Series","100","0","27"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","220743","220743","Franklin Richardson","2","5","0","Running","-1:20.320","0","","2:10.638","2:05.310","10","12","9","23","0","7","6","California Club","1220","1185","7","325","7","327","Skip Barber Race Series","100","0","23"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","220414","220414","Arthur Mitchell","14","15","0","Running","-1:22.601","0","","2:13.220","2:10.304","12","12","3","18","0","9","18","Atlantic","728","711","7","355","7","368","Skip Barber Race Series","100","0","18"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","349529","349529","David Bourbeau","12","10","0","Running","-1:59.203","0","","2:16.271","2:06.152","10","12","13","13","0","6","15","Canada","1018","968","11","328","11","314","Skip Barber Race Series","100","0","13"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","25028","25028","Francois Timmons","7","6","0","Running","-1 L","0","","2:18.613","2:08.618","7","11","3","9","0","6","15","Canada","1215","1141","14","263","14","269","Skip Barber Race Series","100","0","9"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","173030","173030","Cristobal Rodriguez","10","8","0","Running","-1 L","0","","2:15.060","2:09.110","6","11","12","4","0","7","18","Atlantic","1127","1044","9","196","9","186","Skip Barber Race Series","100","0","4"
"15","1","Skip Barber Formula 2000","1","Skip Barber Race Series","44249","44249","Robert Garcia","15","14","32","Disconnected","-12 L","0","","00.000","","","0","0","0","0","R","22","Florida","755","682","6","229","6","225","Skip Barber Race Series","100","0","0"
