"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.08.14 8:15 AM GMT","Watkins Glen International - Cup","Skip Barber Race Series","2019","3","N/A","10","961",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","119315","119315","Peter Stubbins","1","2","0","Running","-00.000","17","","1:28.256","1:25.739","14","17","0","59","14","5","34","Australia/NZ","1204","1282","19","325","19","335","Skip Barber Race Series","100","0","59"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","125641","125641","James Woolnough","2","7","0","Running","-03.176","0","","1:28.442","1:26.894","6","17","0","54","12","6","36","UK and I","1112","1182","14","256","14","267","Skip Barber Race Series","100","0","54"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","93718","93718","Sean Mckenzie","8","4","0","Running","-04.391","0","","1:28.513","1:26.862","4","17","1","50","10","9","34","Australia/NZ","1141","1196","10","285","10","296","Skip Barber Race Series","100","0","50"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","392968","392968","Jason Richards","6","8","0","Running","-12.778","0","","1:29.007","1:27.727","13","17","0","46","8","6","34","Australia/NZ","987","1038","6","295","7","347","Skip Barber Race Series","100","0","46"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","387873","387873","Nash Leslie","14","15","0","Running","-15.760","0","","1:29.182","1:27.714","8","17","2","42","6","9","34","Australia/NZ","537","608","6","226","6","238","Skip Barber Race Series","100","0","42"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","24360","24360","Krysta Nelson","13","14","0","Running","-18.709","0","","1:29.355","1:27.484","15","17","4","37","4","10","22","Florida","548","605","13","146","13","154","Skip Barber Race Series","100","0","37"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","369838","369838","Lloyd Lovett","10","10","0","Running","-18.825","0","","1:28.195","1:27.438","7","17","3","33","2","8","30","Texas","930","944","18","252","18","249","Skip Barber Race Series","100","0","33"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","278803","278803","Nick Lively","9","6","0","Running","-26.084","0","","1:29.789","1:28.266","12","17","1","29","0","6","17","Virginias","1115","1106","11","371","11","376","Skip Barber Race Series","100","0","29"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","361724","361724","Carl Taylor3","12","9","0","Running","-58.035","0","","1:29.997","1:26.960","14","17","6","25","0","7","36","UK and I","941","929","11","314","11","313","Skip Barber Race Series","100","0","25"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","347291","347291","Dominic Martens","7","1","0","Running","-1:03.558","0","","1:31.519","1:27.057","13","17","5","21","0","5","34","Australia/NZ","1247","1204","7","325","7","328","Skip Barber Race Series","100","0","21"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","383920","383920","Jaime Dalmases","5","5","0","Running","-1:22.585","0","","1:32.526","1:27.703","17","17","4","16","0","4","38","Iberia","1129","1079","10","228","10","232","Skip Barber Race Series","100","0","16"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","376903","376903","Burkhard Ullmann","11","12","0","Running","-1 L","0","","1:33.037","1:27.722","5","16","6","12","0","6","42","DE-AT-CH","871","823","11","353","11","349","Skip Barber Race Series","100","0","12"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","375966","375966","Borja Rodriguez Cuesto","3","13","32","Disconnected","-2 L","0","","1:39.377","1:27.570","5","15","9","8","0","8","38","Iberia","745","693","10","246","10","239","Skip Barber Race Series","100","0","8"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","380908","380908","David Rage","4","3","32","Disconnected","-9 L","0","","1:29.653","1:27.151","4","8","5","4","0","7","38","Iberia","1188","1095","15","312","15","305","Skip Barber Race Series","100","0","4"
"15","1","Skip Barber Formula 2000","1","Skip Barber Race Series","289385","289385","Flynn Godfrey Mullany","15","11","32","Disconnected","-17 L","0","","00.000","","","0","0","0","0","8","34","Australia/NZ","893","804","6","236","6","236","Skip Barber Race Series","100","0","0"
